Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
"•
        
    

131.112.154.0/26",Active,0,Global,0%,,,bio-18 (703),BRANCH,,Global,131.112.154.0/26,1,False,False
"•
        
    

131.112.155.0/26",Active,0,Global,0%,,,bio-9 (968),BRANCH,,Global,131.112.155.0/26,1,False,False
"•
        
    

131.112.157.0/25",Active,0,Global,0%,,,echem-1 (926),BRANCH,,Global,131.112.157.0/25,1,False,False
"•
        
    

131.112.159.0/26",Active,0,Global,0%,,,chemenv-1 (924),BRANCH,,Global,131.112.159.0/26,1,False,False
"•
        
    

131.112.160.192/26",Active,0,Global,0%,,,gsic.cc-1 (887),BRANCH,,Global,131.112.160.192/26,1,False,False
"•
        
    

131.112.161.0/26",Active,0,Global,0%,,,ip-1 (986),BRANCH,,Global,131.112.161.0/26,1,False,False
"•
        
    

131.112.164.0/26",Active,0,Global,0%,,,hokekan-1 (915),BRANCH,,Global,131.112.164.0/26,1,False,False
"•
        
    

131.112.165.0/26",Active,0,Global,0%,,,pms-1 (980),BRANCH,,Global,131.112.165.0/26,1,False,False
"•
        
    

131.112.165.64/26",Active,0,Global,0%,,,pms-2 (900),BRANCH,,Global,131.112.165.64/26,1,False,False
"•
        
    

131.112.168.0/26",Active,0,Global,0%,,,es-5 (907),BRANCH,,Global,131.112.168.0/26,1,False,False
"•
        
    

131.112.169.0/26",Active,0,Global,0%,,,es-1 (913),BRANCH,,Global,131.112.169.0/26,1,False,False
"•
        
    

131.112.169.64/26",Active,0,Global,0%,,,es-2 (912),BRANCH,,Global,131.112.169.64/26,1,False,False
"•
        
    

131.112.169.128/26",Active,0,Global,0%,,,es-3 (911),BRANCH,,Global,131.112.169.128/26,1,False,False
"•
        
    

131.112.169.192/26",Active,0,Global,0%,,,es-4 (910),BRANCH,,Global,131.112.169.192/26,1,False,False
"•
        
    

131.112.170.0/26",Active,0,Global,0%,,,iir-3 (503),BRANCH,,Global,131.112.170.0/26,1,False,False
"•
        
    

131.112.172.0/27",Active,0,Global,0%,,,dis-1 (702),BRANCH,,Global,131.112.172.0/27,1,False,False
"•
        
    

131.112.172.128/27",Active,0,Global,0%,,,dis-3 (698),BRANCH,,Global,131.112.172.128/27,1,False,False
"•
        
    

131.112.172.192/27",Active,0,Global,0%,,,dis-7 (521),BRANCH,,Global,131.112.172.192/27,1,False,False
"•
        
    

131.112.174.0/26",Active,0,Global,0%,,,pi-2 (936),BRANCH,,Global,131.112.174.0/26,1,False,False
"•
        
    

131.112.174.64/26",Active,0,Global,0%,,,pi-3 (935),BRANCH,,Global,131.112.174.64/26,1,False,False
"•
        
    

131.112.174.128/26",Active,0,Global,0%,,,pi-4 (934),BRANCH,,Global,131.112.174.128/26,1,False,False
"•
        
    

131.112.174.192/26",Active,0,Global,0%,,,pi-1 (937),BRANCH,,Global,131.112.174.192/26,1,False,False
"•
        
    

131.112.177.0/26",Active,0,Global,0%,,,depe-5 (893),BRANCH,,Global,131.112.177.0/26,1,False,False
"•
        
    

131.112.180.0/24",Active,0,Global,0%,,,isl-1 (994),BRANCH,,Global,131.112.180.0/24,1,False,False
"•
        
    

131.112.181.0/26",Active,0,Global,0%,,,noc.serv-s (947),BRANCH,,Global,131.112.181.0/26,1,False,False
"•
        
    

131.112.182.0/23",Active,0,Global,0%,,,iir-1 (514),BRANCH,,Global,131.112.182.0/23,1,False,False
"•
        
    

131.112.186.0/26",Active,0,Global,0%,,,ric-1 (919),BRANCH,,Global,131.112.186.0/26,1,False,False
"•
        
    

131.112.188.0/26",Active,0,Global,0%,,,ep-1 (984),BRANCH,,Global,131.112.188.0/26,1,False,False
"•
        
    

131.112.188.64/26",Active,0,Global,0%,,,ep-3 (710),BRANCH,,Global,131.112.188.64/26,1,False,False
"•
        
    

131.112.189.128/26",Active,0,Global,0%,,,depe-1 (902),BRANCH,,Global,131.112.189.128/26,1,False,False
"•
        
    

131.112.189.192/26",Active,0,Global,0%,,,depe-2 (901),BRANCH,,Global,131.112.189.192/26,1,False,False
"•
        
    

131.112.190.0/26",Active,0,Global,0%,,,depe-4 (894),BRANCH,,Global,131.112.190.0/26,1,False,False
